Year,Conf,Team,Wins,Loss,Prorated Win,Salary,cost per win,champ,Finals,playoffs,,,,,,,,,
2018,Southwest,Dallas Mavericks,24,58,24,"$74,347,737 ","$3,097,822.38 ",0,0,,,,,,,,,,
2018,Northwest,Denver Nuggets,46,36,46,"$116,453,842 ","$2,531,605.26 ",0,0,,,,,,,,,,
2018,Central,Detroit Pistons,39,43,39,"$116,292,254 ","$2,981,852.67 ",0,0,,,,,,,,,,
2018,Pacific,Golden State Warriors,58,24,58,"$144,517,971 ","$2,491,689.16 ",1,1,,,,,,,,,,
2018,Southwest,Houston Rockets,65,17,65,"$120,763,311 ","$1,857,897.09 ",0,0,,,,,,,,,,
2018,Central,Indiana Pacers,48,34,48,"$99,581,987 ","$2,074,624.73 ",0,0,,,,,,,,,,
2018,Pacific,Los Angeles Clippers,42,40,42,"$83,224,562 ","$1,981,537.19 ",0,0,,,,,,,,,,
2018,Pacific,Los Angeles Lakers,35,47,35,"$90,654,646 ","$2,590,132.74 ",0,0,,,,,,,,,,
2018,Southwest,Memphis Grizzlies,22,60,22,"$119,619,058 ","$5,437,229.91 ",0,0,,,,,,,,,,
2018,Southeast,Miami Heat,44,38,44,"$122,657,637 ","$2,787,673.57 ",0,0,,,,,,,,,,
2018,Central,Milwaukee Bucks,44,38,44,"$114,955,757 ","$2,612,630.84 ",0,0,,,,,,,,,,
2018,Northwest,Minnesota Timberwolves,47,35,47,"$117,388,804 ","$2,497,634.13 ",0,0,,,,,,,,,,
2018,Southwest,New Orleans Pelicans,48,34,48,"$99,636,769 ","$2,075,766.02 ",0,0,,,,,,,,,,
2018,Atlantic,New York Knicks,29,53,29,"$62,775,458 ","$2,164,670.97 ",0,0,,,,,,,,,,
2018,Northwest,Oklahoma City Thunder,48,34,48,"$138,111,761 ","$2,877,328.35 ",0,0,,,,,,,,,,
2018,Southeast,Orlando Magic,25,57,25,"$112,686,749 ","$4,507,469.96 ",0,0,,,,,,,,,,
2018,Atlantic,Philadelphia 76ers,52,30,52,"$107,554,205 ","$2,068,350.10 ",0,0,,,,,,,,,,
2018,Pacific,Phoenix Suns,21,61,21,"$68,854,080 ","$3,278,765.71 ",0,0,,,,,,,,,,
2018,Northwest,Portland Trail Blazers,49,33,49,"$128,004,910 ","$2,612,345.10 ",0,0,,,,,,,,,,
2018,Pacific,Sacramento Kings,27,55,27,"$92,287,612 ","$3,418,059.70 ",0,0,,,,,,,,,,
2018,Southwest,San Antonio Spurs,47,35,47,"$101,438,941 ","$2,158,275.34 ",0,0,,,,,,,,,,
2018,Atlantic,Toronto Raptors,59,23,59,"$135,355,561 ","$2,294,162.05 ",0,0,,,,,,,,,,
2018,Northwest,Utah Jazz,48,34,48,"$113,437,858 ","$2,363,288.71 ",0,0,,,,,,,,,,
2018,Southeast,Washington Wizards,43,39,43,"$115,917,170 ","$2,695,748.14 ",0,0,,,,,,,,,,
2017,Southeast,Atlanta Hawks,43,39,43,"$67,426,026 ","$1,568,047.12 ",0,0,,,,,,,,,,
2017,Atlantic,Boston Celtics,53,29,53,"$115,481,314 ","$2,178,892.72 ",0,0,,,,,,,,,,
2017,Atlantic,Brooklyn Nets,20,62,20,"$89,124,239 ","$4,456,211.95 ",0,0,,,,,,,,,,
2017,Southeast,Charlotte Hornets,36,46,36,"$117,228,164 ","$3,256,337.89 ",0,0,,,,,,,,,,
2017,Central,Chicago Bulls,41,41,41,"$63,826,969 ","$1,556,755.34 ",0,0,,,,,,,,,,
2017,Central,Cleveland Cavaliers,51,31,51,"$135,777,082 ","$2,662,295.73 ",0,1,,,,,,,,,,
2017,Southwest,Dallas Mavericks,33,49,33,"$78,243,993 ","$2,371,030.09 ",0,0,,,,,,,,,,
2017,Northwest,Denver Nuggets,40,42,40,"$101,779,153 ","$2,544,478.83 ",0,0,,,,,,,,,,
2017,Central,Detroit Pistons,37,45,37,"$113,040,993 ","$3,055,161.97 ",0,0,,,,,,,,,,
2017,Pacific,Golden State Warriors,67,15,67,"$133,611,005 ","$1,994,194.10 ",1,1,,,,,,,,,,
2017,Southwest,Houston Rockets,55,27,55,"$114,484,312 ","$2,081,532.95 ",0,0,,,,,,,,,,
2017,Central,Indiana Pacers,42,40,42,"$90,081,320 ","$2,144,793.33 ",0,0,,,,,,,,,,
2017,Pacific,Los Angeles Clippers,51,31,51,"$116,141,747 ","$2,277,289.16 ",0,0,,,,,,,,,,
2017,Pacific,Los Angeles Lakers,26,56,26,"$93,848,506 ","$3,609,557.92 ",0,0,,,,,,,,,,
2017,Southwest,Memphis Grizzlies,43,39,43,"$100,033,826 ","$2,326,368.05 ",0,0,,,,,,,,,,
2017,Southeast,Miami Heat,41,41,41,"$103,753,306 ","$2,530,568.44 ",0,0,,,,,,,,,,
2017,Central,Milwaukee Bucks,42,40,42,"$100,039,227 ","$2,381,886.36 ",0,0,,,,,,,,,,
2017,Northwest,Minnesota Timberwolves,31,51,31,"$102,739,777 ","$3,314,186.35 ",0,0,,,,,,,,,,
2017,Southwest,New Orleans Pelicans,34,48,34,"$115,907,328 ","$3,409,039.06 ",0,0,,,,,,,,,,
2017,Atlantic,New York Knicks,31,51,31,"$98,086,116 ","$3,164,068.26 ",0,0,,,,,,,,,,
2017,Northwest,Oklahoma City Thunder,47,35,47,"$130,477,891 ","$2,776,125.34 ",0,0,,,,,,,,,,
2017,Southeast,Orlando Magic,29,53,29,"$94,946,559 ","$3,274,019.28 ",0,0,,,,,,,,,,
2017,Atlantic,Philadelphia 76ers,28,54,28,"$89,638,648 ","$3,201,380.29 ",0,0,,,,,,,,,,
2017,Pacific,Phoenix Suns,24,58,24,"$74,114,136 ","$3,088,089.00 ",0,0,,,,,,,,,,
2017,Northwest,Portland Trail Blazers,41,41,41,"$114,016,865 ","$2,780,899.15 ",0,0,,,,,,,,,,
2017,Pacific,Sacramento Kings,32,50,32,"$77,725,702 ","$2,428,928.19 ",0,0,,,,,,,,,,
2017,Southwest,San Antonio Spurs,61,21,61,"$114,051,642 ","$1,869,699.05 ",0,0,,,,,,,,,,
2017,Atlantic,Toronto Raptors,51,31,51,"$115,391,026 ","$2,262,569.14 ",0,0,,,,,,,,,,
