Year,Conf,Team,Wins,Loss,prorated_win,salary,cost_per_win,champ,finals,playoffs
2015,Southeast,Orlando Magic,25,57,25,61108745,4.09106749,0,0,
2015,Atlantic,Philadelphia 76ers,18,64,18,31052215,5.796687934,0,0,
2015,Pacific,Phoenix Suns,39,43,39,63389393,6.152448881,0,0,
2015,Northwest,Portland Trail Blazers,51,31,51,48301816,10.55860922,0,0,
2015,Pacific,Sacramento Kings,29,53,29,71733666,4.042732181,0,0,
2015,Southwest,San Antonio Spurs,55,27,55,85192733,6.455949711,0,0,
2015,Atlantic,Toronto Raptors,49,33,49,71217611,6.880320656,0,0,
2015,Northwest,Utah Jazz,38,44,38,63160091,6.016457449,0,0,
2015,Southeast,Washington Wizards,46,36,46,76328636,6.026571731,0,0,
2014,Southeast,Atlanta Hawks,38,44,38,57245276,6.63810233,0,0,
2014,Atlantic,Boston Celtics,25,57,25,52905065,4.725445475,0,0,
2014,Atlantic,Brooklyn Nets,44,38,44,88024730,4.998595281,0,0,
2014,Southeast,Charlotte Hornets,43,39,43,64710971,6.64493197,0,0,
2014,Central,Chicago Bulls,48,34,48,67099204,7.153587098,0,0,
2014,Central,Cleveland Cavaliers,33,49,33,80811761,4.083564025,0,0,
2014,Southwest,Dallas Mavericks,49,33,49,72183738,6.788232552,0,0,
2014,Northwest,Denver Nuggets,36,46,36,53359369,6.746706469,0,0,
2014,Central,Detroit Pistons,29,53,29,49558917,5.851621011,0,0,
2014,Pacific,Golden State Warriors,51,31,51,71881167,7.095043407,0,0,
2014,Southwest,Houston Rockets,54,28,54,71004520,7.605149644,0,0,
2014,Central,Indiana Pacers,56,26,56,74798942,7.486736911,0,0,
2014,Pacific,Los Angeles Clippers,57,25,57,77554797,7.349642086,0,0,
2014,Pacific,Los Angeles Lakers,27,55,27,59483328,4.539086986,0,0,
2014,Southwest,Memphis Grizzlies,50,32,50,73989079,6.757754073,0,0,
2014,Southeast,Miami Heat,54,28,54,75084575,7.191889945,0,1,
2014,Central,Milwaukee Bucks,15,67,15,44560189,3.366233478,0,0,
2014,Northwest,Minnesota Timberwolves,40,42,40,64182806,6.232198698,0,0,
2014,Southwest,New Orleans Pelicans,34,48,34,68280315,4.97947322,0,0,
2014,Atlantic,New York Knicks,37,45,37,54410045,6.800214924,0,0,
2014,Northwest,Oklahoma City Thunder,59,23,59,77876390,7.576108754,0,0,
2014,Southeast,Orlando Magic,23,59,23,41311716,5.567427894,0,0,
2014,Atlantic,Philadelphia 76ers,19,63,19,34387296,5.525296319,0,0,
2014,Pacific,Phoenix Suns,48,34,48,55464385,8.654202152,0,0,
2014,Northwest,Portland Trail Blazers,54,28,54,72964755,7.400833457,0,0,
2014,Pacific,Sacramento Kings,28,54,28,73061908,3.832366382,0,0,
2014,Southwest,San Antonio Spurs,62,20,62,69028330,8.981819494,1,1,
2014,Atlantic,Toronto Raptors,48,34,48,75424914,6.363944943,0,0,
2014,Northwest,Utah Jazz,25,57,25,47940340,5.214814914,0,0,
2014,Southeast,Washington Wizards,44,38,44,72952787,6.031298023,0,0,
2013,Southeast,Atlanta Hawks,44,38,44,55517146,7.925479455,0,0,
2013,Atlantic,Boston Celtics,41,40,42,69955361,6.003828642,0,0,
2013,Atlantic,Brooklyn Nets,49,33,49,102766374,4.768096615,0,0,
2013,Southeast,Charlotte Hornets,21,61,21,49359172,4.254528419,0,0,
2013,Central,Chicago Bulls,45,37,45,63312273,7.107626668,0,0,
2013,Central,Cleveland Cavaliers,24,58,24,66063984,3.632841761,0,0,
2013,Southwest,Dallas Mavericks,41,41,41,68057497,6.024317938,0,0,
2013,Northwest,Denver Nuggets,57,25,57,65379734,8.718297936,0,0,
2013,Central,Detroit Pistons,29,53,29,61897253,4.685183687,0,0,
2013,Pacific,Golden State Warriors,47,35,47,71069466,6.613247945,0,0,
2013,Southwest,Houston Rockets,45,37,45,60308379,7.461649732,0,0,
2013,Central,Indiana Pacers,49,32,50,65850484,7.592958618,0,0,
2013,Pacific,Los Angeles Clippers,56,26,56,72099475,7.767046847,0,0,
2013,Pacific,Los Angeles Lakers,45,37,45,74858550,6.011337382,0,0,
2013,Southwest,Memphis Grizzlies,56,26,56,71361909,7.847323703,0,0,
2013,Southeast,Miami Heat,66,16,66,80541886,8.19449398,1,1,
2013,Central,Milwaukee Bucks,38,44,38,47079048,8.071531098,0,0,
2013,Northwest,Minnesota Timberwolves,31,51,31,66354404,4.671882819,0,0,
2013,Southwest,New Orleans Pelicans,27,55,27,62235672,4.338347949,0,0,
2013,Atlantic,New York Knicks,54,28,54,85994825,6.27944763,0,0,
2013,Northwest,Oklahoma City Thunder,60,22,60,70488245,8.512057578,0,0,
2013,Southeast,Orlando Magic,20,62,20,34022974,5.878380885,0,0,
2013,Atlantic,Philadelphia 76ers,34,48,34,27287899,12.45973536,0,0,
2013,Pacific,Phoenix Suns,25,57,25,47314683,5.283772059,0,0,
2013,Northwest,Portland Trail Blazers,33,49,33,62599372,5.27161838,0,0,
2013,Pacific,Sacramento Kings,28,54,28,58206752,4.810438487,0,0,
2013,Southwest,San Antonio Spurs,58,24,58,63171742,9.181320344,0,1,
2013,Atlantic,Toronto Raptors,34,48,34,63206362,5.37920534,0,0,
2013,Northwest,Utah Jazz,43,39,43,47893335,8.978284766,0,0,
2013,Southeast,Washington Wizards,29,53,29,63807197,4.54494185,0,0,
2012,Southeast,Atlanta Hawks,40,26,50,63620146,7.859145749,0,0,
2012,Atlantic,Boston Celtics,39,27,48,70261284,6.831642872,0,0,
2012,Atlantic,Brooklyn Nets,22,44,27,83048918,3.251095938,0,0,
2012,Southeast,Charlotte Hornets,7,59,9,57257078,1.571858068,0,0,
2012,Central,Chicago Bulls,50,16,62,74105866,8.366409212,0,0,
2012,Central,Cleveland Cavaliers,21,45,26,49406697,5.262444482,0,0,
2012,Southwest,Dallas Mavericks,36,30,45,58996275,7.627600217,0,0,
2012,Northwest,Denver Nuggets,38,28,47,63970222,7.3471685,0,0,
2012,Central,Detroit Pistons,25,41,31,62495969,4.960319921,0,0,
2012,Pacific,Golden State Warriors,23,43,29,69667990,4.162600356,0,0,
2012,Southwest,Houston Rockets,34,32,42,44545613,9.42853789,0,0,
2012,Central,Indiana Pacers,42,24,52,66225684,7.851938532,0,0,
2012,Pacific,Los Angeles Clippers,40,26,50,68400718,7.309864788,0,0,
2012,Pacific,Los Angeles Lakers,41,25,51,99646980,5.118067803,0,0,
2012,Southwest,Memphis Grizzlies,41,25,51,62366281,8.177495785,0,0,
2012,Southeast,Miami Heat,46,20,57,80736455,7.060007775,1,1,
2012,Central,Milwaukee Bucks,31,35,39,61658839,6.325127205,0,0,
2012,Northwest,Minnesota Timberwolves,26,40,32,60238958,5.312176881,0,0,
2012,Southwest,New Orleans Pelicans,21,45,26,46311220,5.614190255,0,0,
2012,Atlantic,New York Knicks,36,30,45,74741057,6.020787209,0,0,
2012,Northwest,Oklahoma City Thunder,47,19,58,68057854,8.52216116,0,1,
2012,Southeast,Orlando Magic,37,29,46,57651721,7.978946544,0,0,
2012,Atlantic,Philadelphia 76ers,35,31,43,63742383,6.745904056,0,0,
2012,Pacific,Phoenix Suns,33,33,41,51913298,7.897783724,0,0,
2012,Northwest,Portland Trail Blazers,28,38,35,54632812,6.406406465,0,0,
2012,Pacific,Sacramento Kings,22,44,27,51000236,5.294093149,0,0,
2012,Southwest,San Antonio Spurs,50,16,62,69407505,8.932751581,0,0,
2012,Atlantic,Toronto Raptors,23,43,29,67088346,4.322658365,0,0,
2012,Northwest,Utah Jazz,36,30,45,63344192,7.104045151,0,0,
2012,Southeast,Washington Wizards,20,46,25,57506990,4.347297607,0,0,
2011,Southeast,Atlanta Hawks,44,38,44,71583096,6.146702568,0,0,
2011,Atlantic,Boston Celtics,56,26,56,76053505,7.363237237,0,0,
2011,Atlantic,Brooklyn Nets,24,58,24,47743918,5.026818285,0,0,
2011,Southeast,Charlotte Hornets,34,48,34,57917825,5.870386189,0,0,
2011,Central,Chicago Bulls,62,20,62,68873614,9.001996033,0,0,
2011,Central,Cleveland Cavaliers,19,63,19,48030927,3.955784572,0,0,
2011,Southwest,Dallas Mavericks,57,25,57,74325300,7.668990236,1,1,
2011,Northwest,Denver Nuggets,50,32,50,52473071,9.52869711,0,0,
2011,Central,Detroit Pistons,30,52,30,57872787,5.183783529,0,0,
2011,Pacific,Golden State Warriors,36,46,36,56555931,6.36538014,0,0,
2011,Southwest,Houston Rockets,43,39,43,43714664,9.836516186,0,0,
2011,Central,Indiana Pacers,37,45,37,44413746,8.330754177,0,0,
2011,Pacific,Los Angeles Clippers,32,50,32,68433967,4.676040481,0,0,
2011,Pacific,Los Angeles Lakers,57,25,57,81371048,7.004948492,0,0,
2011,Southwest,Memphis Grizzlies,46,36,46,67634641,6.80124849,0,0,
2011,Southeast,Miami Heat,58,24,58,73036309,7.941255629,0,1,
2011,Central,Milwaukee Bucks,35,47,35,65940004,5.307855304,0,0,
2011,Northwest,Minnesota Timberwolves,17,65,17,55406532,3.068230295,0,0,
2011,Southwest,New Orleans Pelicans,46,36,46,54965856,8.368831734,0,0,
2011,Atlantic,New York Knicks,42,40,42,60549804,6.936438638,0,0,
2011,Northwest,Oklahoma City Thunder,55,27,55,56856253,9.673518232,0,0,
2011,Southeast,Orlando Magic,52,30,52,68849150,7.552743934,0,0,
2011,Atlantic,Philadelphia 76ers,41,41,41,57855224,7.086654785,0,0,
2011,Pacific,Phoenix Suns,40,42,40,56292681,7.105719481,0,0,
2011,Northwest,Portland Trail Blazers,48,34,48,64247715,7.471082824,0,0,
2011,Pacific,Sacramento Kings,24,58,24,36583409,6.560350896,0,0,
2011,Southwest,San Antonio Spurs,61,21,61,70626485,8.636986536,0,0,
2011,Atlantic,Toronto Raptors,22,60,22,50693030,4.339847115,0,0,
2011,Northwest,Utah Jazz,39,43,39,58114489,6.710890979,0,0,
2011,Southeast,Washington Wizards,23,59,23,66770575,3.444631112,0,0,
2010,Southeast,Atlanta Hawks,53,29,53,69470010,7.629191359,0,0,
2010,Atlantic,Boston Celtics,50,32,50,68475297,7.301903342,0,1,
2010,Atlantic,Brooklyn Nets,12,70,12,30081113,3.989214096,0,0,
2010,Southeast,Charlotte Hornets,44,38,44,66474367,6.61909274,0,0,
2010,Central,Chicago Bulls,41,41,41,54762711,7.486846296,0,0,
2010,Central,Cleveland Cavaliers,61,21,61,48148715,12.66908162,0,0,
2010,Southwest,Dallas Mavericks,55,27,55,86572655,6.353045312,0,0,
2010,Northwest,Denver Nuggets,53,29,53,83866762,6.319547665,0,0,
2010,Central,Detroit Pistons,27,55,27,63784230,4.233021234,0,0,
2010,Pacific,Golden State Warriors,26,56,26,69339251,3.749679961,0,0,
2010,Southwest,Houston Rockets,42,40,42,68517503,6.12982058,0,0,
2010,Central,Indiana Pacers,32,50,32,43285121,7.392840602,0,0,
2010,Pacific,Los Angeles Clippers,29,53,29,43773006,6.625087617,0,0,
2010,Pacific,Los Angeles Lakers,57,25,57,89617037,6.360397744,1,1,
2010,Southwest,Memphis Grizzlies,40,42,40,63223932,6.32671818,0,0,
2010,Southeast,Miami Heat,47,35,47,63181658,7.43886778,0,0,
2010,Central,Milwaukee Bucks,46,36,46,67366734,6.828295995,0,0,
2010,Northwest,Minnesota Timberwolves,15,67,15,45057768,3.329059708,0,0,
2010,Southwest,New Orleans Pelicans,37,45,37,62394980,5.929964238,0,0,
2010,Atlantic,New York Knicks,29,53,29,45236959,6.410687332,0,0,
2010,Northwest,Oklahoma City Thunder,50,32,50,59087679,8.462001021,0,0,
2010,Southeast,Orlando Magic,59,23,59,88497177,6.666879329,0,0,
2010,Atlantic,Philadelphia 76ers,27,55,27,49431213,5.462135837,0,0,
2010,Pacific,Phoenix Suns,54,28,54,66852030,8.077540802,0,0,
2010,Northwest,Portland Trail Blazers,50,32,50,66664518,7.500241733,0,0,
2010,Pacific,Sacramento Kings,25,57,25,40838272,6.121708578,0,0,
2010,Southwest,San Antonio Spurs,50,32,50,68355262,7.314725822,0,0,
2010,Atlantic,Toronto Raptors,40,42,40,54280455,7.369134986,0,0,
